id,tipo_de_propiedad,direccion,zona,valor,dormitorios,banos,patio_parque,garage,mts_const,lote,piso,link,columna_1,apto_banco,alternativa_menor_1,alternativa_menor_2,alternativa_menor_3,alterniva_menor_4,alternativa_menor_5,.,alternativa_mayor,alternativa_mayor_2,alternativa_mayor_3,alternativa_mayor_4,alternativa_mayor_5
1,Casa,Country Abril,Hudson,USD 1.100.000,4,2,"Parque ",1,509,1484,,"https://www.remax.com.ar/420161202-306?associate=420161202 ",Team Ali,SI,"1. https://www.remax.com.ar/420161156-198?associate=420161202
2. https://www.remax.com.ar/420161481-24?associate=420161202
",,,,,,"1. https://www.remax.com.ar/420161402-24?associate=420161202
2. https://www.remax.com.ar/420531090-196?associate=420161202
3. https://www.remax.com.ar/420171211-178?associate=420161202
4. https://www.remax.com.ar/421531025-601?associate=420161202
",,,,
2,Casa,31 e/425 y 426,Villa Elisa,USD 280.000,3,4,"Parque ",2,200,340,,https://www.remax.com.ar/420161237-149?associate=420161237,Team Ali,SI,,,,,,,,,,,
3,Casa,19 Bis e/421 y 422,Villa Elisa,USD 320.000,4,2,"Parque ",2,215,969,,https://www.remax.com.ar/420161237-148?associate=420161237,Team Ali,SI,,,,,,,,,,,
4,Casa,424 esq 135,Villa Elisa,USD 170.000,2,1,"Parque ",2,190,759,,https://www.remax.com.ar/420161237-156?associate=420161237,Team Ali,NO,,,,,,,,,,,
5,Casa,473 e/139 y 141,Villa Elisa,USD 199.000,3,4,"Parque ",3,370,1450,,https://www.remax.com.ar/420161202-343?associate=420161202,Team Ali,SI,,,,,,,,,,,
7,Casa,139 e/ 64 y 65,Los Hornos,USD 128.000,3,2,"Parque ",2,138,450,,https://www.remax.com.ar/420161202-465?associate=420161202,Team Ali,SI,"1. https://www.remax.com.ar/420161399-65?associate=420161202
2. https://www.remax.com.ar/420161322-71?associate=420161202
3. https://www.remax.com.ar/421941006-53?associate=420161202
4. https://www.remax.com.ar/420161159-254?associate=420161202",,,,,,"1. https://www.remax.com.ar/421921005-83?associate=420161202
2. https://www.remax.com.ar/420161518-172?associate=420161202
",,,,
8,Casa,42 e/22 y 23,La Plata,USD 280.000,3,2,"Parque ",1,338,482,,https://www.remax.com.ar/420161202-463?associate=420161202,Team Ali,NO,,,,,,,,,,,
9,Lote,26 e/501 y 502,Manuel Gonnet,USD 59.000,,,,,,347,,https://www.remax.com.ar/420161237-186?associate=420161237,Team Ali,NO,,,,,,,,,,,
10,Casa,510 e/15 y 16,Manuel Gonnet,USD 179.000,4,2,Parque,1,130,300,,https://www.remax.com.ar/420161202-461?associate=420161202,Team Ali,SI,"📍 511 e/ 23 bis  y 24 | 🛏️ 3 dorm | 📏 110 m² | 🌳 Parque | 💰 USD $ 145.000
https://www.remax.com.ar/420161156-226?associate=420161202

📍 28 e/ 491 y 493 | 🛏️ 3 dorm | 📏 143 m² | 🌳 Parque | 💰 USD $ 150.000
https://www.remax.com.ar/420161164-313?associate=420161202

📍 18 e/ 485 y 486 | 🛏️ 3 dorm | 📏 115 m² | 🌳 Parque | 💰 USD $ 155.000
https://www.remax.com.ar/420161408-36?associate=420161202

📍 505 e/ 28 y 29 | 🛏️ 3 dorm | 📏 124 m² | 🌳 Parque | 💰 USD $ 159.000
https://www.remax.com.ar/420711129-241?associate=420161202


📍 132 bis y 488 | 🛏️ 3 dorm | 📏 113 m² | 🌳 Parque | 💰 USD $ 165.000
https://www.remax.com.ar/420711119-338?associate=420161202

",,,,,,"📍 505 bis e/ 23 y 24 | 🛏️ 3 dorm | 📏 120 m² | 🌳 Parque | 💰 USD $ 210.000
https://www.remax.com.ar/420161085-559?associate=420161202

📍 27 e/ 496 y 497 | 🛏️ 3 dorm | 📏 228 m² | 🌳 Parque | 💰 USD $ 390.000
https://www.remax.com.ar/420161202-475

📍 28 bis e/ 489 y 491 | 🛏️ 3 dorm | 📏 228 m² | 🌳 Parque | 💰 USD $ 226.000
https://www.remax.com.ar/420161164-300?associate=420161202

📍 Lacroze y 15 | 🛏️ 3 dorm | 📏 270 m² | 🌳 Parque | 💰 USD $ 250.000
https://www.remax.com.ar/420161486-9?associate=420161202

📍 15 bis e/ 493 bis y 494  🛏️ 3 dorm | 📏 180 m² | 🌳 Parque | 💰 USD $ 250.000
​​https://www.remax.com.ar/421941044-14?associate=420161202
","📍 493 bis esq 16 bis | 🛏️ 3 dorm | 📏 230 m² | 🌳 Parque | 💰 USD $ 290.000
https://www.remax.com.ar/420161408-31?associate=420161202

📍 485 e/ 18 y 19 | 🛏️ 3 dorm | 📏 132 m² | 🌳 Parque | 💰 USD $ 320.000
https://www.remax.com.ar/420711013-181?associate=420161202

📍 18 e/ 491 y 491 bis | 🛏️ 3 dorm | 📏 340 m² | 🌳 Parque | 💰 USD $ 480.000
https://www.remax.com.ar/420711158-104?associate=420161202
",,,
11,Casa,116 e/ 34 y 35,La Plata,USD 109.000,2,1,"Parque ",1,110,176,UF 2,https://www.remax.com.ar/420161202-458?associate=420161202,Team Ali,SI,"📍119 e/ 35 y 36 | 🛏️ 2 dorm | 📏78  m² | 🌳  Parque | 💰 USD $73.000
https://www.remax.com.ar/421941047-9?associate=420161202
 
",,,,,,"📍38 E/ 15 Y 16 | 🛏️ 2 dorm | 📏74  m² | 🌳  Parque | 💰 USD $119.000
https://www.remax.com.ar/420711115-138?associate=420161202
📍18 e/ 46 y 47| 🛏️ 2 dorm | 📏92  m² | 🌳  Parque | 💰 USD $129.000
https://www.remax.com.ar/420161185-157?associate=420161202
📍2 e/ 63 y 64| 🛏️ 2 dorm | 📏150  m² | 🌳  Pileta  | 💰 USD $140.000
https://www.remax.com.ar/420161381-62?associate=420161202
📍32 e/ 5 y 6 | 🛏️ 3 dorm | 📏175  m² | 🌳  Parque  | 💰 USD $160.000
https://www.remax.com.ar/420711247-38?associate=420161202
📍47 e/ 28 y 29 | 🛏️ 3 dorm | 📏130  m² | 🌳  Pileta  | 💰 USD $189.900
https://www.remax.com.ar/420711197-105?associate=420161202
","📍43 e/ 17 y 18 | 🛏️ 3 dorm | 📏164  m² | 🌳  Parque  | 💰 USD $220.000
https://www.remax.com.ar/420341122-182?associate=420161202
📍28 e/ 57 y 58 | 🛏️ 3 dorm | 📏165  m² | 🌳  Pileta  | 💰 USD $190.000
https://www.remax.com.ar/420161086-201?associate=420161202
📍2 e/ 36 y 37 | 🛏️ 3 dorm | 📏228  m² | 🌳  Parque  | 💰 USD $172.000
https://www.remax.com.ar/420341184-12?associate=420161202
",,,
12,Lote,139 e/ 90 y 96,Fincas de Duggan,USD 153.000,,,Lote 316,,,1631,,https://www.remax.com.ar/420161237-187?associate=420161237,Team Ali,NO,,,,,,,,,,,
14,Lote,501 e/ 135 Y 137,Don Carlos,USD 99.900,,,,,,685,,https://www.remax.com.ar/420161202-443?associate=420161202,Team Ali,NO,,,,,,,,,,,
