id,tipo_de_propiedad,direccion,zona,valor,dormitorios,banos,patio_parque,garage,mts_const,lote,piso,link,columna_1,apto_banco,alternativa_menor_1,alternativa_menor_2,alternativa_menor_3,alterniva_menor_4,alternativa_menor_5,.,alternativa_mayor,alternativa_mayor_2,alternativa_mayor_3,alternativa_mayor_4,alternativa_mayor_5
1,Casa,Country Abril,Hudson,USD 1.100.000,4,2,"Parque ",1,509,1484,,"https://www.remax.com.ar/420161202-306?associate=420161202 ",Team Ali,SI,,,,,,,,,,,
2,Casa,31 e/425 y 426,Villa Elisa,USD 280.000,3,4,"Parque ",2,200,340,,https://www.remax.com.ar/420161237-149?associate=420161237,Team Ali,SI,,,,,,,,,,,
3,Casa,19 Bis e/421 y 422,Villa Elisa,USD 320.000,4,2,"Parque ",2,215,969,,https://www.remax.com.ar/420161237-148?associate=420161237,Team Ali,SI,,,,,,,,,,,
4,Casa,424 esq 135,Villa Elisa,USD 170.000,2,1,"Parque ",2,190,759,,https://www.remax.com.ar/420161237-156?associate=420161237,Team Ali,NO,,,,,,,,,,,
5,Casa,473 e/139 y 141,Villa Elisa,USD 199.000,3,4,"Parque ",3,370,1450,,https://www.remax.com.ar/420161202-343?associate=420161202,Team Ali,SI,,,,,,,,,,,
7,Casa,139 e/ 64 y 65,Los Hornos,USD 128.000,3,2,"Parque ",2,138,450,,https://www.remax.com.ar/420161202-465?associate=420161202,Team Ali,SI,"📍146 e/ 57 y 58 | 🛏️3 dorm | 📏 110 m² | 🌳Pileta | 💰 USD $167.000
https://www.remax.com.ar/420341174-28?associate=420161202

📍147 e/ 57 y 58 | 🛏️3 dorm | 📏 177 m² | 🌳Pileta | 💰 USD $108.000
https://www.remax.com.ar/421921037-104?associate=420161202

📍138 e/ 56 y 57 | 🛏️3 dorm | 📏 180 m² | 🌳Parque | 💰 USD $120.000
https://www.remax.com.ar/421941006-53?associate=420161202

📍60 e/ 140 y 141 | 🛏️3 dorm | 📏 135  m² | 🌳Parque| 💰 USD $115.000
https://www.remax.com.ar/420711175-42?associate=420161202
",,,,,,"
📍67 e/ 143  y 144 | 🛏️3 dorm | 📏 195  m² | 🌳Pileta | 💰 USD $139.000
https://www.remax.com.ar/420161200-331?associate=420161202

📍67 e/ 139  y 140 | 🛏️4 dorm | 📏 171  m² | 🌳Pileta | 💰 USD $160.000
https://www.remax.com.ar/420711251-120?associate=420161202
📍63 esq 135 | 🛏️3 dorm | 📏 250  m² | 🌳Parque | 💰 USD $170.000
https://www.remax.com.ar/420711103-269?associate=420161202

📍142 e/ 60 y 61 | 🛏️3 dorm | 📏 125  m² | 🌳Pileta | 💰 USD $149.500
https://www.remax.com.ar/421921005-83?associate=420161202

📍144 e/ 60 y 61 | 🛏️3 dorm | 📏 120  m² | 🌳Parque | 💰 USD $145.000
https://www.remax.com.ar/420161237-158?associate=420161202
",,,,
8,Casa,42 e/22 y 23,La Plata,USD 280.000,3,2,"Parque ",1,338,482,,https://www.remax.com.ar/420161202-463?associate=420161202,Team Ali,NO,,,,,,,,,,,
9,Lote,26 e/501 y 502,Manuel Gonnet,USD 79.000,,,,,,347,,https://www.remax.com.ar/420161202-464?associate=420161202,Team Ali,NO,,,,,,,,,,,
10,Casa,510 e/15 y 16,Manuel Gonnet,USD 179.000,4,2,Parque,1,130,300,,https://www.remax.com.ar/420161202-461?associate=420161202,Team Ali,SI,,,,,,,,,,,
11,Casa,116 e/ 34 y 35,La Plata,USD 115.000,2,1,"Parque ",1,110,176,UF 2,https://www.remax.com.ar/420161202-458?associate=420161202,Team Ali,SI,"📍35 e/ 120 y 121 | 🛏️ 3 dorm | 📏134  m² | 🌳  Parque | 💰 USD $105.000
https://www.remax.com.ar/421921036-17?associate=420161202

📍119 e/ 35 y 36 | 🛏️ 2 dorm | 📏78  m² | 🌳  Parque | 💰 USD $73.000
https://www.remax.com.ar/421941047-9?associate=420161202

📍40 e/ 115 y 116 | 🛏️ 2 dorm | 📏140  m² | 🌳  Parque | 💰 USD $115.000
https://www.remax.com.ar/420711126-121?associate=420161202

📍532 e/ 121 y 122 | 🛏️ 4 dorm | 📏150  m² | 🌳  Parque | 💰 USD $110.000
 https://ficha.propio.com.ar/0f2gga1GOOXyopRP

",,,,,,"📍38 E/ 15 Y 16 | 🛏️ 2 dorm | 📏74  m² | 🌳  Parque | 💰 USD $119.000
https://www.remax.com.ar/420711115-138?associate=420161202

📍18 e/ 46 y 47| 🛏️ 2 dorm | 📏92  m² | 🌳  Parque | 💰 USD $129.000
https://www.remax.com.ar/420161185-157?associate=420161202

📍2 e/ 63 y 64| 🛏️ 2 dorm | 📏150  m² | 🌳  Pileta  | 💰 USD $140.000
https://www.remax.com.ar/420161381-62?associate=420161202

📍32 e/ 5 y 6 | 🛏️ 3 dorm | 📏175  m² | 🌳  Parque  | 💰 USD $160.000
https://www.remax.com.ar/420711247-38?associate=420161202

📍47 e/ 28 y 29 | 🛏️ 3 dorm | 📏130  m² | 🌳  Pileta  | 💰 USD $189.900
https://www.remax.com.ar/420711197-105?associate=420161202
","📍43 e/ 17 y 18 | 🛏️ 3 dorm | 📏164  m² | 🌳  Parque  | 💰 USD $220.000
https://www.remax.com.ar/420341122-182?associate=420161202

📍28 e/ 57 y 58 | 🛏️ 3 dorm | 📏165  m² | 🌳  Pileta  | 💰 USD $190.000
https://www.remax.com.ar/420161086-201?associate=420161202


📍2 e/ 36 y 37 | 🛏️ 3 dorm | 📏228  m² | 🌳  Parque  | 💰 USD $172.000
https://www.remax.com.ar/420341184-12?associate=420161202

📍32 e/ 118 y 119 | 🛏️ 3 dorm | 📏249  m² | 🌳  Parque  | 💰 USD $190.000
https://www.remax.com.ar/420341114-138?associate=420161202

",,,
